sample,signal_type,horizon_sessions,dimension,bucket,n,benchmark_n,tickers,raw_match_rate,raw_match_ci_low,raw_match_ci_high,net_match_rate_10bps,mean_directional_return,median_directional_return,mean_directional_excess,median_directional_excess,mean_excess_ci_low,mean_excess_ci_high
all_events,smart_alpha_pure,1,direction,bear,11,11,11,0.36363636363636365,0.15166223614131383,0.6462032231083628,0.2727272727272727,-0.008608769758472972,-0.0034339153941695955,-0.007938722406287407,-0.0034898354537051812,-0.022231612107371526,0.00424893112624768
all_events,smart_alpha_pure,1,direction,bull,65,65,58,0.47692307692307695,0.36021590253064156,0.5962057959772373,0.46153846153846156,0.0023881782050859377,-0.002140688749822983,0.0021135630680264497,0.0013947012779658152,-0.008971807793556186,0.0126386874584356
all_events,smart_alpha_pure,1,source_count,1,76,76,66,0.4605263157894737,0.3530754655326989,0.5717757398539667,0.4342105263157895,0.0007965146840445166,-0.002421579173519983,0.0006586270125336547,-0.0008449029475318115,-0.008962946962936232,0.010940693714231025
all_events,smart_alpha_pure,1,agreement,unanimous,76,76,66,0.4605263157894737,0.3530754655326989,0.5717757398539667,0.4342105263157895,0.0007965146840445166,-0.002421579173519983,0.0006586270125336547,-0.0008449029475318115,-0.008962946962936232,0.010940693714231025
all_events,smart_alpha_pure,1,period,first_half_through_2026-01-26,35,35,32,0.42857142857142855,0.27984333081678914,0.5914287074102662,0.4,-0.003438112699410824,-0.0035716715422817735,-0.0030689092372630116,-0.0022437859447332897,-0.016462598871213385,0.012367799656956465
all_events,smart_alpha_pure,1,period,second_half_after_2026-01-26,41,41,39,0.4878048780487805,0.34254187239935696,0.635157406841348,0.4634146341463415,0.004411440499189319,-6.0489968746857414e-05,0.0038406701526039794,0.0022862204383541362,-0.010556903465251958,0.018744582082702358
all_events,smart_alpha_pure,1,consensus_overlap,standalone,76,76,66,0.4605263157894737,0.3530754655326989,0.5717757398539667,0.4342105263157895,0.0007965146840445166,-0.002421579173519983,0.0006586270125336547,-0.0008449029475318115,-0.008962946962936232,0.010940693714231025
all_events,smart_alpha_pure,5,direction,bear,11,11,11,0.5454545454545454,0.28008775568998817,0.7872904245601196,0.5454545454545454,0.002238673573947318,0.01625412008013949,-0.00545134177814591,0.004279119246109242,-0.04658577763629455,0.03356859478036159
all_events,smart_alpha_pure,5,direction,bull,65,65,58,0.47692307692307695,0.36021590253064156,0.5962057959772373,0.47692307692307695,0.0010827706078980674,-0.017741415207765177,0.0004911499811856815,-0.016375906950885977,-0.031175884312819698,0.03392698156613087
all_events,smart_alpha_pure,5,source_count,1,76,76,66,0.4868421052631579,0.377835392150506,0.5971150096450492,0.4868421052631579,0.001250072352984143,-0.010572967262854394,-0.00036894751029652243,-0.011930137902866456,-0.027917191731925316,0.027211838813855423
