sample,signal_type,horizon_sessions,n,benchmark_n,tickers,bullish,bearish,raw_match_rate,raw_match_ci_low,raw_match_ci_high,excess_match_rate,net_match_rate_10bps,mean_directional_return,median_directional_return,mean_directional_excess,median_directional_excess,mean_excess_ci_low,mean_excess_ci_high,mean_mfe,mean_mae,overlap_consensus_rate
all_events,smart_alpha_pure,1,76,76,66,65,11,0.4605263157894737,0.3530754655326989,0.5717757398539667,0.4868421052631579,0.4342105263157895,0.0007965146840445166,-0.002421579173519983,0.0006586270125336547,-0.0008449029475318115,-0.008962946962936232,0.010940693714231025,0.036140556166159035,-0.02937444053949263,0.0
all_events,smart_alpha_pure,5,76,76,66,65,11,0.4868421052631579,0.377835392150506,0.5971150096450492,0.4605263157894737,0.4868421052631579,0.001250072352984143,-0.010572967262854394,-0.00036894751029652243,-0.011930137902866456,-0.027917191731925316,0.027211838813855423,0.08688949458025275,-0.08094026822454467,0.0
all_events,smart_alpha_pure,20,71,71,62,60,11,0.4647887323943662,0.35358257090400147,0.5796096644303581,0.43661971830985913,0.4647887323943662,-0.0016105236667878424,-0.03394255874673624,-0.004758601542450988,-0.012746819274648935,-0.06344340100384208,0.068591630056325,0.189601568157935,-0.14544864775288627,0.0
all_events,smart_alpha_pure,60,59,59,54,48,11,0.423728813559322,0.3061253228310244,0.5506574452716337,0.3559322033898305,0.423728813559322,-0.05932449035869897,-0.10325770796974998,-0.07236463474280441,-0.09012348945749293,-0.16124941606392232,0.025598580223034403,0.26955303184348667,-0.2651352796635569,0.0
all_events,smart_alpha_ui,1,72,72,42,63,9,0.4861111111111111,0.3743248074300839,0.5993044408980104,0.5,0.4583333333333333,0.0020395599669258135,-0.00033332776927119667,0.0005642660239890669,-0.00028772845142227554,-0.010026709935151876,0.012683739680866056,0.03527040605598376,-0.03196052141310303,0.5694444444444444
all_events,smart_alpha_ui,5,72,72,42,63,9,0.5416666666666666,0.42739664196707616,0.6517156130486407,0.4861111111111111,0.5416666666666666,-0.004515633458176942,0.0058750688329820555,-0.006264400396861529,-0.0008115104457619982,-0.028053227548964357,0.015858898020105677,0.07898780065036903,-0.08019037730551698,0.5694444444444444
all_events,smart_alpha_ui,20,69,69,40,60,9,0.463768115942029,0.35113991297637237,0.5802179923963817,0.43478260869565216,0.463768115942029,-0.022834929942520923,-0.037745344740815256,-0.026775348548587888,-0.020576826605358756,-0.07634518882575676,0.024264736386043227,0.15227293893971655,-0.14780616324264542,0.5797101449275363
all_events,smart_alpha_ui,60,50,50,32,42,8,0.36,0.24138562967182875,0.49859237989698046,0.38,0.36,0.0025620947216395827,-0.09581444328989802,-0.016773923285740466,-0.09372569966742045,-0.11513157101656471,0.11736192712156863,0.2733103048530501,-0.24452682050979077,0.52
all_events,smart_consensus,1,945,926,104,867,78,0.48148148148148145,0.4497633963878128,0.5133495194034003,0.4838012958963283,0.46455026455026455,-0.00235602445849937,-0.0011963439728190917,-0.002286942513309379,-0.0008394150447282311,-0.005466739479457667,0.00034860154460907646,0.025096940496339617,-0.027666367039093257,0.0
all_events,smart_consensus,5,945,915,104,867,78,0.4486772486772487,0.41723760260384846,0.4805324783032281,0.4382513661202186,0.44656084656084655,-0.009446844348135358,-0.008442404668819847,-0.009289105794261421,-0.009394612537863667,-0.017494292975126734,-0.0015942286648298097,0.065520322172998,-0.07422816126396785,0.0
all_events,smart_consensus,20,838,813,91,772,66,0.4200477326968974,0.3870689934058702,0.4537561689524643,0.3960639606396064,0.41646778042959426,-0.013879736608694506,-0.02505795258189747,-0.020313339227514427,-0.023121659975725017,-0.038946722602954245,-0.000722517623563683,0.13633397173569248,-0.14591270789599065,0.0
all_events,smart_consensus,60,440,438,56,388,52,0.425,0.37965382320018853,0.4716444778153089,0.3447488584474886,0.42045454545454547,0.06643790852880192,-0.02334251388235875,0.03556158233133394,-0.05230659254823078,-0.058437546293389014,0.19650096058894914,0.3230293923682533,-0.19433365544359987,0.0
non_overlapping,smart_alpha_pure,1,76,76,66,65,11,0.4605263157894737,0.3530754655326989,0.5717757398539667,0.4868421052631579,0.4342105263157895,0.0007965146840445166,-0.002421579173519983,0.0006586270125336547,-0.0008449029475318115,-0.008962946962936232,0.010940693714231025,0.036140556166159035,-0.02937444053949263,0.0
non_overlapping,smart_alpha_pure,5,74,74,66,63,11,0.47297297297297297,0.36338517790283736,0.5852284168845255,0.44594594594594594,0.47297297297297297,-0.0005881366560770594,-0.01471566997693724,-0.0022146628696687177,-0.014172322416748206,-0.030337573804924224,0.02681984458775573,0.08624874403392345,-0.0795259198035075,0.0
