source_scope,indicator,window_days,outcome_horizon,direction,n_events,raw_hit_rate,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,avg_max_favorable_excess,avg_max_adverse_excess,updated_at
xueqiu,author_net,7,1D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,author_net,7,1D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,author_net,7,5D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
xueqiu,author_net,7,5D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
xueqiu,author_net,30,1D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,author_net,30,1D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,author_net,30,5D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
xueqiu,author_net,30,5D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
xueqiu,author_net,90,1D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,author_net,90,1D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,author_net,90,5D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
xueqiu,author_net,90,5D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,7,1D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,7,1D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,7,5D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,7,5D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,30,1D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,30,1D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,30,5D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,30,5D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,90,1D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,90,1D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.0059214713693128695,-0.0059214713693128695,,-0.0059214713693128695,,,-0.005983204421875166,-0.005983204421875166,,,-0.005983204421875166,-0.005983204421875166,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,90,5D,all,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
xueqiu,weighted_net,90,5D,bull,1,0.0,0.0,0.0,0.7934506856227626,-0.14355068805829296,-0.14355068805829296,,-0.14355068805829296,,,-0.16527386333214766,-0.16527386333214766,,,-0.005983204421875166,-0.16527386333214766,2026-07-19T13:02:28+00:00
youtube,author_net,1,1D,all,7,0.5714285714285714,0.5714285714285714,0.2504583645276572,0.8417801447485302,0.005105995123469241,0.005822523584905648,0.01981649548296177,-0.014508005355854134,1.365900755955098,1.8212010079401306,0.004497454706195019,0.01058186599659039,1.3124410940601772,1.749921458746903,0.004497454706195019,0.004497454706195019,2026-07-19T13:02:28+00:00
youtube,author_net,1,1D,bull,7,0.5714285714285714,0.5714285714285714,0.2504583645276572,0.8417801447485302,0.005105995123469241,0.005822523584905648,0.01981649548296177,-0.014508005355854134,1.365900755955098,1.8212010079401306,0.004497454706195019,0.01058186599659039,1.3124410940601772,1.749921458746903,0.004497454706195019,0.004497454706195019,2026-07-19T13:02:28+00:00
youtube,author_net,1,20D,all,2,0.0,0.0,0.0,0.6576197724933469,-0.02201703953667944,-0.02201703953667944,,-0.02201703953667944,,,-0.027707453776130153,-0.027707453776130153,,,0.08084502570053642,-0.1250217238767325,2026-07-19T13:02:28+00:00
youtube,author_net,1,20D,bull,2,0.0,0.0,0.0,0.6576197724933469,-0.02201703953667944,-0.02201703953667944,,-0.02201703953667944,,,-0.027707453776130153,-0.027707453776130153,,,0.08084502570053642,-0.1250217238767325,2026-07-19T13:02:28+00:00
youtube,author_net,1,5D,all,7,0.42857142857142855,0.2857142857142857,0.08221892400405678,0.6410655481673808,-0.0420268735776632,-0.015714127994700733,0.03406062134710849,-0.09909249477124196,0.34372554072574785,0.2577941555443109,-0.05045288853198894,-0.03372944918175247,0.45849379797963563,0.18339751919185426,0.030531505360603815,-0.06848807828113253,2026-07-19T13:02:28+00:00
youtube,author_net,1,5D,bull,7,0.42857142857142855,0.2857142857142857,0.08221892400405678,0.6410655481673808,-0.0420268735776632,-0.015714127994700733,0.03406062134710849,-0.09909249477124196,0.34372554072574785,0.2577941555443109,-0.05045288853198894,-0.03372944918175247,0.45849379797963563,0.18339751919185426,0.030531505360603815,-0.06848807828113253,2026-07-19T13:02:28+00:00
youtube,author_net,3,1D,all,15,0.4666666666666667,0.42857142857142855,0.21380798904474121,0.6740935542034926,0.003753765174704012,-0.0021368948247078023,0.024889373816846274,-0.014739892387170467,1.6885722882556367,1.477500752223682,0.002750652526016465,-0.0035021618257498055,1.8575346343127175,1.3931509757345382,0.0036774117313671897,0.0036774117313671897,2026-07-19T13:02:28+00:00
