source,indicator,signal_window_days,holding_days,position_mode,n_input_signals,start_day,end_day,trading_days,active_days,n_trades,overlap_skipped,exposure_pct,average_positions,total_return_0bps,annualized_return_0bps,total_return_10bps,annualized_return_10bps,annualized_volatility_10bps,sharpe_10bps,max_drawdown_10bps,trade_hit_rate_10bps,average_trade_return_10bps,profit_factor_10bps,total_return_25bps,annualized_return_25bps,benchmark_annualized_return
x,author_net,1,1,long_short,209,2025-08-28,2026-07-16,217,91,209,0,0.41935483870967744,0.9493087557603687,-0.313003812966126,-0.3533688269874967,-0.37306741002812793,-0.41854711278123147,0.393571110319418,-1.1780128859642423,-0.4032372503727363,0.42105263157894735,-0.0059474007862931905,0.6629487821038369,-0.45355618821656407,-0.5043054509895295,0.1879598746597333
x,author_net,1,1,long_only,192,2025-08-28,2026-07-16,217,85,192,0,0.391705069124424,0.8709677419354839,-0.22182698490247832,-0.25267793295573704,-0.285493858616543,-0.32320281886786273,0.38086494354633676,-0.8326820999502523,-0.30408753387494736,0.421875,-0.006190676536635961,0.6559355973955246,-0.37146326137516084,-0.41681901367456287,0.1879598746597333
x,author_net,1,1,short_only,17,2025-10-24,2026-07-15,176,14,17,0,0.07954545454545454,0.09659090909090909,-0.05107611063037065,-0.07231726035133157,-0.0643307754519784,-0.0908146090076638,0.13954104704697856,-0.6109085861999185,-0.12633889849886204,0.4117647058823529,-0.0031998158412454274,0.7668095834442339,-0.08389077479487561,-0.11790493982228467,0.16989837186576762
x,author_net,1,5,long_short,177,2025-08-28,2026-07-15,216,195,144,33,0.9027777777777778,3.300925925925926,0.03283301773742209,0.03840905186124233,-0.00761139998158189,-0.00887432228013596,0.5147871402416875,0.24084863001376128,-0.30167981226400675,0.3958333333333333,-0.0008073092831263879,0.9796429229406382,-0.06535340179044391,-0.07582262006099072,0.1964677913965589
x,author_net,1,5,long_only,161,2025-08-28,2026-07-15,216,194,132,29,0.8981481481481481,3.0231481481481484,0.2462530352315493,0.29282755670716276,0.1984745200867617,0.23518954244644785,0.536522416736749,0.6621606157792147,-0.3223047025395519,0.4090909090909091,0.0017082706279096056,1.0437911400296873,0.13018813965124276,0.15347770058710442,0.1964677913965589
x,author_net,1,5,short_only,16,2025-10-24,2026-07-02,172,58,16,0,0.3372093023255814,0.45930232558139533,-0.2608088232413034,-0.35773624572338847,-0.26888977000021963,-0.36799709416925963,0.23942772134371654,-1.7937203226985707,-0.36572418777201066,0.4375,-0.01927088515100099,0.45879159022524024,-0.2808529193085031,-0.3830907056672377,0.15138662347510556
x,author_net,1,20,long_short,148,2025-08-28,2026-07-13,214,214,94,54,1.0,8.771028037383177,0.41946178617691476,0.5105542453141967,0.4038017385836461,0.4909493030956624,0.39811040457421754,1.2032542582501908,-0.22148883944156406,0.4574468085106383,0.015384147541573983,1.2307753825499248,0.3806301143085631,0.4620118364890735,0.1879369703162852
x,author_net,1,20,long_only,134,2025-08-28,2026-07-13,214,214,88,46,1.0,8.210280373831775,0.3981537198961351,0.48388800319302216,0.3829246944966289,0.46487355955347764,0.42998903489788165,1.104087498524021,-0.2277048220534713,0.4659090909090909,0.01704820742768335,1.2731363218891223,0.36038666506601347,0.436801606951122,0.1879369703162852
x,author_net,1,20,short_only,14,2025-10-24,2026-06-17,162,118,14,0,0.7283950617283951,1.728395061728395,-0.2294472920805476,-0.33332408104446554,-0.23434823069278543,-0.3399083644080966,0.34192177136699,-1.043884032561298,-0.4313076850258838,0.42857142857142855,-0.007177031604249587,0.9029672938063917,-0.24164450723732034,-0.34966740178053557,0.15219591884145234
x,author_net,1,60,long_short,84,2025-08-28,2026-07-13,214,214,41,43,1.0,11.495327102803738,0.46615244609238404,0.5692335069338472,0.45940163549563495,0.5607285262522663,0.40995939844335894,1.2991136517651525,-0.2884566454192553,0.6097560975609756,0.20730255874409462,4.411047200018765,0.4493311854159374,0.5480542978322422,0.1879369703162852
x,author_net,1,60,long_only,74,2025-08-28,2026-07-13,214,214,37,37,1.0,10.373831775700934,0.4304493099388773,0.5243325870399367,0.4239450625870478,0.5161739897599571,0.4625163204415158,1.1386565140966858,-0.29841009397912677,0.5675675675675675,0.22022704841340915,4.721358720050038,0.4142416980167052,0.5040148851312385,0.1879369703162852
x,author_net,1,60,short_only,10,2025-10-24,2026-07-13,174,174,9,1,1.0,3.103448275862069,-0.2384253130968479,-0.32595782727283185,-0.24062489355999694,-0.3287754596679031,0.4770909449903529,-0.5932827796486174,-0.43870013401078545,0.5555555555555556,-0.01129309315929171,0.8547752769590954,-0.2439135605687892,-0.3329813753214518,0.15934856026722177
x,author_net,1,90,long_short,63,2025-08-28,2026-07-14,215,215,27,36,1.0,11.283720930232558,0.6788808510475075,0.8354570498682927,0.6734211974133786,0.8284629815113038,0.3276659312911311,2.0073504217341314,-0.1619258784739026,0.6296296296296297,0.21143699318953324,4.108254875530864,0.6652627694250963,0.81801897821976,0.19192709829980137
x,author_net,1,90,long_only,55,2025-08-28,2026-07-14,215,215,24,31,1.0,10.027906976744186,0.7205064111014401,0.8889092770308049,0.7150423529720362,0.8818799557111074,0.3779531028253458,1.8635104357724575,-0.208676664446509,0.5833333333333334,0.21699946709550696,3.835579280249087,0.7068766042255232,0.8713821878647425,0.19192709829980137
x,author_net,1,90,short_only,8,2025-10-24,2026-05-26,146,146,7,1,1.0,4.315068493150685,0.058419723420098935,0.10296124497268155,0.05618957032050953,0.09895301794084221,0.3338266407035518,0.4487845748128032,-0.18548798979692294,1.0,0.1104330423841434,,0.052851825512961303,0.0929656021521219,0.1965986926600436
x,author_net,1,180,long_short,10,2025-08-28,2026-07-13,214,214,6,4,1.0,5.046728971962617,0.5713334370410361,0.7026278847506882,0.5678832736227015,0.6982264618321541,0.3220981199221733,1.8059838134388755,-0.2350169484870155,0.8333333333333334,0.45783317738095325,8.797685954154021,0.5627201529192176,0.6916430077231672,0.1879369703162852
x,author_net,1,180,long_only,10,2025-08-28,2026-07-13,214,214,6,4,1.0,5.046728971962617,0.5713334370410361,0.7026278847506882,0.5678832736227015,0.6982264618321541,0.3220981199221733,1.8059838134388755,-0.2350169484870155,0.8333333333333334,0.45783317738095325,8.797685954154021,0.5627201529192176,0.6916430077231672,0.1879369703162852
x,author_net,3,1,long_short,432,2025-08-27,2026-07-16,218,151,432,0,0.6926605504587156,1.9770642201834863,-0.35680968994026097,-0.3995905940032395,-0.4472854153787734,-0.4961044554764418,0.42267343105584826,-1.403613460299334,-0.4577631056859449,0.4583333333333333,-0.0024855373402999925,0.8261485210568034,-0.5598316289039653,-0.6127098527366219,0.19270736230453456
x,author_net,3,1,long_only,399,2025-08-27,2026-07-16,218,143,399,0,0.6559633027522935,1.8256880733944953,-0.2781287779017356,-0.3139043899525785,-0.3746144900514875,-0.41876152533630806,0.4203600438739357,-1.0745537481407013,-0.385810095956878,0.45864661654135336,-0.002129222847400963,0.8492169511375587,-0.4958469198788117,-0.5469218920097454,0.19270736230453456
x,author_net,3,1,short_only,33,2025-09-25,2026-07-16,198,25,33,0,0.12626262626262627,0.16666666666666666,-0.2102446489706038,-0.25948133876875834,-0.22994373972068216,-0.28290939147454264,0.16439757935427454,-1.9383586482997537,-0.2760059330861697,0.45454545454545453,-0.0067937034817155285,0.5863164516872438,-0.25861047236097046,-0.3167107798786256,0.1828146733475957
x,author_net,3,5,long_short,388,2025-08-27,2026-07-15,217,215,327,61,0.9907834101382489,7.511520737327189,0.05799559531159493,0.06765974706171551,0.013647470998601863,0.015866052952348886,0.39480127800932835,0.23918349157975435,-0.2779999639596603,0.4923547400611621,0.004847290686565504,1.1461407740157679,-0.049435580962761794,-0.05717694955850705,0.20123185384960296
x,author_net,3,5,long_only,359,2025-08-27,2026-07-15,217,215,307,52,0.9907834101382489,7.050691244239632,0.09713859161993543,0.11366681945847046,0.05110205368920484,0.0595854720283735,0.4168616571956191,0.34942277828080226,-0.32666671058540186,0.498371335504886,0.008373315999863283,1.263288756081538,-0.014379729021003373,-0.01667959664918428,0.20123185384960296
x,author_net,3,5,short_only,29,2025-09-25,2026-07-01,192,89,28,1,0.4635416666666667,0.7291666666666666,-0.31857084841774286,-0.3955440175386341,-0.3309953551605299,-0.4099677674558785,0.2701975288981791,-1.8132528445228984,-0.36889141454827745,0.42857142857142855,-0.0236637602475059,0.40088951868396955,-0.34921892502425733,-0.4309724078038144,0.17873666758485784
x,author_net,3,20,long_short,359,2025-08-27,2026-07-16,218,218,192,167,1.0,17.61467889908257,0.1609834322687036,0.18832847179965273,0.14673100182822973,0.17148133679657596,0.32437413071659327,0.6507442159181973,-0.21744607639967184,0.4635416666666667,0.013485822606875045,1.1970622780982083,0.1256757587659283,0.14665271567262805,0.19270736230453456
x,author_net,3,20,long_only,332,2025-08-27,2026-07-16,218,218,185,147,1.0,16.972477064220183,0.15711968940315724,0.18375811701614309,0.1428534033740525,0.16690343936833907,0.3584668257455158,0.6108966283219949,-0.24141624229444936,0.4810810810810811,0.019585124163855123,1.307359538404601,0.12177906393054339,0.14206557913329365,0.19270736230453456
