source,strategy,rank_band_pct,signal_window_days,holding_days,position_mode,n_input_events,average_top_authors,average_bottom_authors,average_top_consensus,average_bottom_consensus,start_day,end_day,trading_days,active_days,n_trades,overlap_skipped,exposure_pct,average_positions,total_return_0bps,annualized_return_0bps,total_return_10bps,annualized_return_10bps,annualized_volatility_10bps,sharpe_10bps,max_drawdown_10bps,trade_hit_rate_10bps,average_trade_return_10bps,profit_factor_10bps,total_return_25bps,annualized_return_25bps,benchmark_annualized_return
x,bottom_contrarian,10,1,1,long_short,101,0.7722772277227723,2.376237623762376,0.20132013201320131,0.9752475247524752,2025-09-24,2026-07-16,199,41,101,0,0.20603015075376885,0.5025125628140703,0.282067071061445,0.3697799143320586,0.23080254336440786,0.30079364690311405,0.2984943792954762,1.0300292599299217,-0.12037716262975773,0.6336633663366337,0.0111910919385448,2.030645484205274,0.15763505455169025,0.20365719812187155,0.16704008977507434
x,bottom_contrarian,10,1,1,long_only,7,0.8571428571428571,2.5714285714285716,0.23809523809523808,0.869047619047619,2026-02-10,2026-07-15,103,6,7,0,0.05825242718446602,0.06796116504854369,-0.10635373859326958,-0.24051051255946987,-0.11180599299949945,-0.2517974609399206,0.14140009443262216,-1.9780895780636027,-0.11388001128405378,0.42857142857142855,-0.012853760284138411,0.40158155067859974,-0.11993239137852407,-0.2684351541657667,0.22403567139949354
x,bottom_contrarian,10,1,1,short_only,94,0.7659574468085106,2.3617021276595747,0.19858156028368795,0.9831560283687943,2025-09-24,2026-07-16,199,40,94,0,0.20100502512562815,0.46733668341708545,0.34118656468503183,0.45025243309108487,0.28890134632716435,0.3790330250502194,0.3100025718376324,1.1918059521045663,-0.12037716262975773,0.648936170212766,0.012981666040233973,2.2894766637273634,0.214180091722167,0.2785872446247919,0.16704008977507434
x,bottom_contrarian,10,1,5,long_short,60,0.45,2.1666666666666665,0.125,0.9944444444444444,2025-09-24,2026-07-17,200,121,54,6,0.605,1.315,-0.4588228675056558,-0.5386742560172479,-0.4719852913725374,-0.5527668510828252,0.6313619133974419,-0.9486665801839377,-0.524388921274366,0.4444444444444444,0.002220318330917321,1.0567214005695034,-0.4911412836068525,-0.5731134272340919,0.15161557287297822
x,bottom_contrarian,10,1,5,long_only,4,0.75,2.25,0.25,0.9166666666666666,2026-02-10,2026-07-17,105,20,4,0,0.19047619047619047,0.19047619047619047,-0.2706546552640742,-0.5311437424188142,-0.2735807032029762,-0.5356454624506392,0.4145699738072288,-1.6398047657208275,-0.30241362619927303,0.0,-0.07611398353807194,0.0,-0.2779505190029612,-0.5423212966329909,0.17514472029526873
x,bottom_contrarian,10,1,5,short_only,56,0.42857142857142855,2.1607142857142856,0.11607142857142858,1.0,2025-09-24,2026-07-14,197,114,50,6,0.5786802030456852,1.233502538071066,-0.34087066785157283,-0.41328195360715203,-0.35623626932355557,-0.4307208531247203,0.6460901372446742,-0.5402728615691348,-0.4615109655723576,0.48,0.008487062480436463,1.2345353915705206,-0.3786276272183039,-0.45592556581817223,0.17108295283110997
x,bottom_contrarian,10,1,20,long_short,42,0.09523809523809523,2.0238095238095237,0.047619047619047616,1.0,2025-09-24,2026-07-15,198,174,36,6,0.8787878787878788,3.6363636363636362,0.6785257825892403,0.9331787873798338,0.6609790896436154,0.9074953275939712,0.5470346963741596,1.4552522581926406,-0.3356635332190214,0.6666666666666666,0.04082133335529014,1.7867248642129856,0.6349926839794162,0.8695944029794958,0.17605543856281347
x,bottom_contrarian,10,1,20,long_only,2,0.0,2.0,0.0,1.0,2026-02-10,2026-06-05,81,40,2,0,0.49382716049382713,0.49382716049382713,-0.21642087168388735,-0.5317476051724823,-0.21806059901507358,-0.5347893633891735,0.6572911838373338,-0.8374031458857527,-0.314714891065219,0.0,-0.11512418009469327,0.0,-0.22051536751466483,-0.5393179507675998,0.20332960872534467
x,bottom_contrarian,10,1,20,short_only,40,0.1,2.025,0.05,1.0,2025-09-24,2026-07-15,198,174,34,6,0.8787878787878788,3.4343434343434343,0.7403056237738757,1.0241871634097985,0.7219546308257672,0.9970606780190567,0.5680258915377171,1.5027645247327766,-0.3356635332190214,0.7058823529411765,0.049994598852347985,2.0379237216818984,0.6947801272677925,0.9570360488657053,0.17605543856281347
x,bottom_contrarian,10,1,60,long_short,28,0.0,2.0,0.0,1.0,2025-09-24,2026-05-22,167,167,21,7,1.0,7.544910179640719,0.10200307780842977,0.15785212939733673,0.09783646123010148,0.15125249994072343,0.49241873029223243,0.5354844024151464,-0.3356635332190214,0.7142857142857143,0.0716780265946499,1.956767767531468,0.09161422563949939,0.1414206328097225,0.18984630353709786
