asof_day,source,segment_type,segment_key,population,ranked_rows
2025-07-04,x,horizon,1D,2,2
2025-07-04,x,investor_type,flow_momentum,1,1
2025-07-04,x,investor_type,fundamental,1,1
2025-07-05,x,horizon,1D,2,2
2025-07-05,x,investor_type,flow_momentum,1,1
2025-07-05,x,investor_type,fundamental,1,1
2025-07-06,x,horizon,1D,2,2
2025-07-06,x,investor_type,flow_momentum,1,1
2025-07-06,x,investor_type,fundamental,1,1
2025-07-07,x,horizon,1D,2,2
2025-07-07,x,investor_type,flow_momentum,1,1
2025-07-07,x,investor_type,fundamental,1,1
2025-07-08,x,horizon,1D,2,2
2025-07-08,x,investor_type,flow_momentum,1,1
2025-07-08,x,investor_type,fundamental,1,1
2025-07-08,x,investor_type,technical,1,1
2025-07-09,x,horizon,1D,5,5
2025-07-09,x,investor_type,flow_momentum,1,1
2025-07-09,x,investor_type,fundamental,1,1
2025-07-09,x,investor_type,technical,2,2
2025-07-10,x,horizon,1D,7,7
2025-07-10,x,investor_type,flow_momentum,1,1
2025-07-10,x,investor_type,fundamental,2,2
2025-07-10,x,investor_type,technical,2,2
2025-07-11,x,horizon,1D,8,8
2025-07-11,x,horizon,5D,3,3
2025-07-11,x,investor_type,flow_momentum,1,1
2025-07-11,x,investor_type,fundamental,2,2
2025-07-11,x,investor_type,technical,2,2
2025-07-12,x,horizon,180D,1,1
2025-07-12,x,horizon,1D,8,8
2025-07-12,x,horizon,20D,1,1
2025-07-12,x,horizon,5D,4,4
2025-07-12,x,horizon,60D,1,1
2025-07-12,x,horizon,90D,1,1
2025-07-12,x,investor_type,flow_momentum,1,1
2025-07-12,x,investor_type,fundamental,2,2
2025-07-12,x,investor_type,technical,2,2
2025-07-12,x,narrative,semis,1,1
2025-07-13,x,horizon,180D,1,1
2025-07-13,x,horizon,1D,8,8
2025-07-13,x,horizon,20D,1,1
2025-07-13,x,horizon,5D,4,4
2025-07-13,x,horizon,60D,1,1
2025-07-13,x,horizon,90D,1,1
2025-07-13,x,investor_type,flow_momentum,1,1
2025-07-13,x,investor_type,fundamental,2,2
2025-07-13,x,investor_type,technical,2,2
2025-07-13,x,narrative,semis,1,1
2025-07-14,x,horizon,180D,1,1
2025-07-14,x,horizon,1D,8,8
2025-07-14,x,horizon,20D,1,1
2025-07-14,x,horizon,5D,4,4
2025-07-14,x,horizon,60D,1,1
2025-07-14,x,horizon,90D,1,1
2025-07-14,x,investor_type,flow_momentum,1,1
2025-07-14,x,investor_type,fundamental,2,2
2025-07-14,x,investor_type,technical,2,2
2025-07-14,x,narrative,semis,1,1
2025-07-15,x,horizon,180D,2,2
2025-07-15,x,horizon,1D,8,8
2025-07-15,x,horizon,20D,1,1
2025-07-15,x,horizon,5D,7,7
2025-07-15,x,horizon,60D,2,2
2025-07-15,x,horizon,90D,2,2
2025-07-15,x,investor_type,flow_momentum,2,2
2025-07-15,x,investor_type,fundamental,2,2
2025-07-15,x,investor_type,technical,2,2
